木星の視赤経（Ｒ．Ａ．），視赤緯（Ｄｅｃ．），地心距離（Ｄｉｓｔ．）
        1月 0日－ 5月 1日 a=  0,b=121        4月30日－ 9月 1日 a=120,b=244         8月31日－12月32日 a=243,b=366
ＣN      R.A.       Dec.     Dist.            R.A.      Dec.      Dist.             R.A.      Dec.     Dist.     ＣN
  N      h          °        AU              h           °       AU              h          °        AU         N
  0    23.043138  -7.11539   5.787812        0.332535   0.72823   4.842002        0.164401  -0.55816   4.338706    0
  1     0.872041   5.33819   0.055259        0.296224   1.63297  -0.849732       -0.208959  -1.18224   0.509110    1
  2     0.001918   0.08486  -0.179891       -0.157389  -1.03557   0.016403        0.131052   0.91966   0.197796    2
  3    -0.012119  -0.08875  -0.000221       -0.012042  -0.06506   0.034807        0.028695   0.16807  -0.031382    3
  4     0.000415  -0.00102   0.002294        0.002173   0.01665   0.002076       -0.008076  -0.05467  -0.005081    4
  5    -0.000092   0.00014  -0.000066        0.000786   0.00464  -0.000197       -0.000416  -0.00139   0.001193    5
  6    -0.000005  -0.00001   0.000000        0.000108   0.00066  -0.000075        0.000427   0.00281   0.000041    6
  7     0.000009   0.00005   0.000006       -0.000008  -0.00003  -0.000021       -0.000028  -0.00030  -0.000041    7
  8    -0.000001   0.00001  -0.000013       -0.000016  -0.00011   0.000006       -0.000010  -0.00004  -0.000002    8
  9    -0.000002  -0.00002  -0.000002        0.000002   0.00001   0.000008        0.000000   0.00001  -0.000007    9
 10     0.000003   0.00002  -0.000008        0.000000   0.00000   0.000002        0.000004   0.00003  -0.000002   10
 11    -0.000009  -0.00005  -0.000006        0.000004   0.00002   0.000012       -0.000007  -0.00004  -0.000012   11
 12    -0.000005  -0.00005   0.000016        0.000010   0.00008  -0.000008       -0.000013  -0.00011   0.000007   12
 13     0.000008   0.00004   0.000006       -0.000006  -0.00004  -0.000015        0.000006   0.00004   0.000015   13
 14     0.000003   0.00003  -0.000009       -0.000008  -0.00006   0.000005        0.000009   0.00007  -0.000005   14
 15    -0.000003  -0.00001  -0.000002        0.000003   0.00002   0.000008       -0.000002  -0.00002  -0.000007   15
 16     0.000003   0.00001   0.000003        0.000004   0.00003  -0.000001       -0.000001  -0.00002   0.000002   16
 17     0.000001   0.00000   0.000001        0.000000   0.00000  -0.000003        0.000002   0.00002   0.000003   17
