火星の視赤経（Ｒ．Ａ．），視赤緯（Ｄｅｃ．），地心距離（Ｄｉｓｔ．）
        1月 0日－ 5月 1日 a=  0,b=121        4月30日－ 9月 1日 a=120,b=244         8月31日－12月32日 a=243,b=366
ＣN      R.A.       Dec.     Dist.            R.A.      Dec.      Dist.             R.A.      Dec.     Dist.     ＣN
  N      h          °        AU              h           °       AU              h          °        AU         N
  0    19.865436 -18.50494   1.990436        1.666879   7.14999   1.297104        4.948238  23.18455   0.711042    0
  1     3.121664   7.17180  -0.362309        2.732894  14.75667  -0.335557        0.009769   2.32267  -0.187221    1
  2    -0.039572   3.12503  -0.002378       -0.053663  -1.51547  -0.000423       -0.646854  -0.81646   0.090249    2
  3    -0.019232  -0.21565   0.003646       -0.010039  -0.32793  -0.002522        0.061848  -0.08385   0.026008    3
  4     0.003810  -0.05815  -0.000342       -0.005838   0.04470   0.000038        0.080124  -0.10357   0.000607    4
  5     0.000553   0.00519  -0.000046       -0.000688   0.00630   0.000086        0.015700   0.05291  -0.001887    5
  6    -0.000174   0.00094   0.000009        0.000012   0.00033   0.000007       -0.005458   0.03917  -0.000535    6
  7     0.000018  -0.00016  -0.000006       -0.000010  -0.00008  -0.000013       -0.004070   0.00118   0.000055    7
  8    -0.000004   0.00007  -0.000009       -0.000039  -0.00023   0.000002       -0.000468  -0.00673   0.000089    8
  9     0.000004  -0.00003  -0.000002       -0.000009   0.00002   0.000002        0.000508  -0.00253   0.000011    9
 10    -0.000012  -0.00008  -0.000012       -0.000028  -0.00015   0.000001        0.000272   0.00045  -0.000002   10
 11    -0.000033  -0.00007   0.000008        0.000007   0.00001   0.000017        0.000062   0.00071  -0.000013   11
 12     0.000011  -0.00003   0.000015        0.000049   0.00032  -0.000002       -0.000110  -0.00005  -0.000015   12
 13     0.000024   0.00007  -0.000005       -0.000001  -0.00003  -0.000014       -0.000103  -0.00020   0.000010   13
 14    -0.000005   0.00004  -0.000007       -0.000025  -0.00019   0.000001        0.000040   0.00004   0.000010   14
 15    -0.000009  -0.00002   0.000002       -0.000001   0.00001   0.000006        0.000056   0.00005  -0.000004   15
 16     0.000006  -0.00001   0.000002        0.000007   0.00006   0.000000       -0.000008  -0.00002  -0.000004   16
 17     0.000002   0.00002   0.000000        0.000001   0.00000  -0.000002       -0.000024   0.00001   0.000001   17
