月　　Ｍｏｏｎ　　2022年

月の視赤経（Ｒ．Ａ．），視赤緯（Ｄｅｃ．），地平視差（Ｈ．Ｐ．）
         1月 0日－ 2月 1日 a=  0,b= 32        1月31日－ 3月 1日 a= 31,b= 60        2月28日－ 4月 1日 a= 59,b= 91
ＣN     R.A.       Dec.      H.P.            R.A.       Dec.      H.P.            R.A.       Dec.      H.P.      ＣN
  N      h          °        °              h          °        °              h          °        °         N
  0     6.383625  -9.28199   0.974753        8.406287  -7.31185   0.966109       10.371504  -4.90548   0.959622    0
  1    14.011672   0.07874  -0.003581       12.550966  -4.98860   0.004672       14.025106  -2.51980   0.000954    1
  2    -0.007802 -23.18679   0.054524        0.270748 -23.04506   0.042797        0.333828 -13.15314   0.018458    2
  3     0.466000  -1.54275  -0.004191        0.241976   8.31185  -0.019537        0.075405  17.98184  -0.031580    3
  4    -0.044422  11.73983  -0.021144        0.001748   8.05308  -0.009711       -0.128525   7.28179  -0.006886    4
  5     0.097852   0.28510   0.005082        0.087792  -0.55848   0.005711       -0.060192  -3.52919   0.010625    5
  6     0.043330  -0.47471  -0.002668       -0.084110  -0.53315  -0.001647       -0.109153  -1.51492  -0.001094    6
  7    -0.121597  -0.10804  -0.001574       -0.057867  -0.18932  -0.000791        0.030090  -0.15798  -0.002074    7
  8    -0.011075  -0.10958   0.001342        0.015027   0.04082   0.000311        0.060494   0.20087   0.000258    8
  9     0.016772   0.11026   0.000048        0.010738  -0.05759   0.000080        0.002867   0.10141   0.000383    9
 10     0.002008  -0.13709   0.000055       -0.000250  -0.04650   0.000081       -0.012431   0.05680   0.000158   10
 11     0.000480  -0.03782   0.000033       -0.000814   0.02839  -0.000019       -0.004412   0.01157  -0.000082   11
 12    -0.002215   0.04433  -0.000065        0.001870   0.01545  -0.000023       -0.000617  -0.03464  -0.000075   12
 13     0.002634   0.00543   0.000011        0.000309  -0.00198   0.000004       -0.000302  -0.01691   0.000013   13
 14     0.001116   0.00009   0.000001       -0.000962  -0.00203   0.000001        0.001290   0.00406   0.000017   14
 15    -0.001239  -0.00282  -0.000005       -0.000256   0.00086   0.000000        0.001178   0.00498   0.000001   15
 16    -0.000251   0.00091   0.000003        0.000188  -0.00001   0.000000       -0.000213   0.00162  -0.000004   16
