土星の視赤経（Ｒ．Ａ．），視赤緯（Ｄｅｃ．），地心距離（Ｄｉｓｔ．）
        1月 0日－ 5月 1日 a=  0,b=121        4月30日－ 9月 1日 a=120,b=244         8月31日－12月32日 a=243,b=366
ＣN      R.A.       Dec.     Dist.            R.A.      Dec.      Dist.             R.A.      Dec.     Dist.     ＣN
  N      h          °        AU              h           °       AU              h          °        AU         N
  0    21.409023 -16.11385  10.610739       21.750076 -14.79289   9.324292       21.531362 -15.98547   9.669505    0
  1     0.425094   1.88136  -0.340352       -0.124539  -0.79388  -0.632810        0.055126   0.31524   0.866716    1
  2    -0.028613  -0.10239  -0.204202       -0.074901  -0.35767   0.179273        0.095607   0.46827   0.049678    2
  3    -0.010758  -0.05853   0.013339        0.011149   0.06866   0.034129       -0.000127  -0.00414  -0.043947    3
  4     0.000313  -0.00070   0.003720        0.002885   0.01528  -0.003725       -0.002666  -0.00984  -0.000156    4
  5     0.000030   0.00048  -0.000129       -0.000036  -0.00108  -0.000763        0.000239   0.00115   0.000703    5
  6     0.000002   0.00004  -0.000013       -0.000078  -0.00051   0.000010        0.000029  -0.00004  -0.000048    6
  7     0.000006   0.00002   0.000000       -0.000012  -0.00003   0.000012       -0.000008  -0.00002  -0.000001    7
  8    -0.000004   0.00000  -0.000014       -0.000002  -0.00002   0.000014        0.000001   0.00001  -0.000012    8
  9    -0.000001  -0.00002   0.000000        0.000005   0.00002   0.000003       -0.000003  -0.00002  -0.000004    9
 10     0.000001   0.00000  -0.000007        0.000002   0.00001   0.000002        0.000002   0.00001  -0.000004   10
 11    -0.000007  -0.00001   0.000001        0.000003   0.00003   0.000005       -0.000008  -0.00003  -0.000006   11
 12    -0.000001  -0.00002   0.000017        0.000002   0.00002  -0.000016       -0.000003  -0.00003   0.000016   12
 13     0.000006   0.00003  -0.000001       -0.000007  -0.00003  -0.000006        0.000006   0.00003   0.000006   13
 14     0.000000   0.00001  -0.000011       -0.000002  -0.00001   0.000012        0.000002   0.00002  -0.000011   14
 15    -0.000002  -0.00001   0.000000        0.000005   0.00002   0.000003       -0.000002  -0.00001  -0.000003   15
 16     0.000004   0.00001   0.000004        0.000002   0.00002  -0.000004        0.000001   0.00001   0.000004   16
 17     0.000000   0.00001   0.000000        0.000000  -0.00001  -0.000001        0.000002   0.00001   0.000001   17
