  太陽の視赤経（Ｒ．Ａ．），視赤緯（Ｄｅｃ．），地心距離（Ｄｉｓｔ．）
        1月 0日－ 5月 1日 a=  0,b=121        4月30日－ 9月 1日 a=120,b=244         8月31日－12月32日 a=243,b=366
ＣN      R.A.       Dec.     Dist.            R.A.      Dec.      Dist.             R.A.      Dec.     Dist.     ＣN
  N      h          °        AU              h           °       AU              h          °        AU         N
  0    22.714111  -5.77971   0.993148        6.617773  17.16569   1.012365       14.543576 -10.64695   0.994687    0
  1     3.895588  20.02854   0.012659        4.135644  -3.37392   0.001158        4.052451 -16.83097  -0.013825    1
  2    -0.102703   1.72530   0.002294       -0.041829  -5.79007  -0.004190        0.151690   3.51949   0.001824    2
  3     0.034943  -0.98556  -0.000642       -0.040668   0.21379  -0.000055        0.013092   0.97356   0.000717    3
  4     0.006578   0.01260  -0.000037        0.005360   0.15980   0.000107       -0.013453  -0.02695  -0.000036    4
  5    -0.002269   0.00796   0.000013        0.003267  -0.01083  -0.000003       -0.002111  -0.02322  -0.000021    5
  6     0.000090  -0.00351   0.000009       -0.000421  -0.00504   0.000004        0.000314  -0.00527   0.000001    6
  7     0.000090   0.00081   0.000005       -0.000120   0.00078  -0.000006        0.000181   0.00005  -0.000014    7
  8    -0.000024   0.00022  -0.000007        0.000017   0.00005  -0.000010       -0.000011   0.00051  -0.000002    8
  9     0.000024   0.00010   0.000002        0.000015   0.00003   0.000000       -0.000010  -0.00011  -0.000004    9
 10     0.000022   0.00009  -0.000014       -0.000021   0.00016  -0.000012       -0.000056   0.00019  -0.000003   10
 11    -0.000066  -0.00033  -0.000006       -0.000064  -0.00001   0.000007       -0.000016   0.00011   0.000018   11
 12    -0.000019  -0.00024   0.000014        0.000028   0.00011   0.000016        0.000057  -0.00036   0.000003   12
 13     0.000040   0.00022   0.000004        0.000047  -0.00006  -0.000005        0.000011  -0.00001  -0.000012   13
 14     0.000006   0.00014  -0.000006       -0.000014  -0.00014  -0.000008       -0.000025   0.00022  -0.000001   14
 15    -0.000014  -0.00008  -0.000001       -0.000017   0.00004   0.000002       -0.000003   0.00000   0.000004   15
 16     0.000004  -0.00003   0.000002        0.000005   0.00004   0.000002        0.000011  -0.00009   0.000001   16
 17     0.000002   0.00003   0.000000        0.000007  -0.00001  -0.000001        0.000003   0.00001  -0.000001   17
