金星の視赤経（Ｒ．Ａ．），視赤緯（Ｄｅｃ．），地心距離（Ｄｉｓｔ．）
        1月 0日－ 5月 1日 a=  0,b=121        4月30日－ 9月 1日 a=120,b=244         8月31日－12月32日 a=243,b=366
ＣN      R.A.       Dec.     Dist.            R.A.      Dec.      Dist.             R.A.      Dec.     Dist.     ＣN
  N      h          °        AU              h           °       AU              h          °        AU         N
  0    20.808494 -13.07553   0.578275        4.712612  12.95153   1.364215       14.732391  -8.80037   1.672862    0
  1     2.365097   6.97955   0.387373        5.037133   9.40906   0.336220        5.094586 -20.15809  -0.025566    1
  2     1.017553   3.17081   0.052952        0.149118  -7.27886  -0.039917        0.163303   5.23856  -0.041489    2
  3    -0.298660   1.53133  -0.025265       -0.046602  -1.14981  -0.003143        0.024616   1.86660   0.001762    3
  4    -0.003744  -0.53561   0.006775       -0.023318   0.28884   0.000292       -0.029010  -0.11204  -0.000058    4
  5     0.047915  -0.08898  -0.001021        0.002962   0.06537   0.000036       -0.005350  -0.05981  -0.000059    5
  6    -0.025539   0.08396  -0.000365        0.002582  -0.00339   0.000005        0.001300  -0.01421   0.000006    6
  7     0.008001  -0.02360   0.000369        0.000072  -0.00509  -0.000013        0.000628   0.00063  -0.000014    7
  8    -0.000189  -0.00003  -0.000171       -0.000230  -0.00065  -0.000005        0.000083   0.00154  -0.000002    8
  9    -0.001661   0.00448   0.000031       -0.000028   0.00060  -0.000003       -0.000040   0.00011  -0.000007    9
 10     0.001201  -0.00300  -0.000002       -0.000015   0.00009  -0.000009       -0.000056   0.00006  -0.000004   10
 11    -0.000561   0.00062  -0.000007       -0.000026  -0.00014   0.000014       -0.000013   0.00002   0.000018   11
 12     0.000069  -0.00007   0.000022        0.000037   0.00017   0.000010        0.000033  -0.00020   0.000004   12
 13     0.000176   0.00002  -0.000007        0.000017  -0.00003  -0.000009        0.000008   0.00001  -0.000011   13
 14    -0.000121   0.00031  -0.000007       -0.000017  -0.00013  -0.000004       -0.000012   0.00012  -0.000002   14
 15     0.000005  -0.00022   0.000003       -0.000005   0.00004   0.000003       -0.000001   0.00000   0.000004   15
 16     0.000029  -0.00003   0.000001        0.000005   0.00003   0.000001        0.000007  -0.00005   0.000001   16
 17    -0.000009   0.00010  -0.000001        0.000003  -0.00001  -0.000001        0.000002   0.00001  -0.000001   17
